"명호","단축명호","등록번호","생년월일","산차","검정일","최근분만일","최근건유일","누적착유일수","유량","유지율","유단백질","무지고형분율","체세포수천","mun","x305일유량","x305일유지량","x305일유단백","x305일무지고형분량","성년형유량","성년형유지량","성년형유단백량","성년형무지고형분량","분만난이","가수제코드","가수제일자","농후사료비","농후사료급여량","공태일수","최종수정일자","촤종수정횟수","최종수정정액코드","체점수","분만후첫수정일까지일수","전산차비유지속성","현재산차비유지속성","비유최고도달일수","비유후기최고유량","비유초기평균유지율","비유초기평균단백율","비유초기평균Mun","최고유량체세포","건유전마지막유량","전산차건유전유량"
290,"178",500758655,"2009-10-19",6,"2018-05-19","2017-03-31","2018-05-14",409,0,0,0,0,0,0,9142,325,261,783,8983,323,258,771,1,12,"2018-05-14",520,2,225,"2017-11-11",3,NA,NA,105,43.1,69.3,107,39.2,3.8,2.4,3,21,103,8.5
345,"308",501134244,"2015-05-10",2,"2018-05-19","2018-04-03",NA,46,47.4,2.91,2.85,8.36,14,8.7,0,0,0,0,0,0,0,0,1,21,"2018-04-03",520,2,0,"2018-08-10",2,NA,NA,45,101.8,0,72,50,3.22,3.09,9,23,0,17.2
348,"189",500793061,"2010-05-13",6,"2018-05-19","2018-04-21",NA,28,39,3.84,3.21,9.21,33,7.9,0,0,0,0,0,0,0,0,1,81,"2018-04-21",2600,10,0,NA,NA,NA,NA,NA,61.4,0,54,46.4,3.83,3.05,8,28,67,23
578,"316",501101062,"2015-09-05",1,"2018-05-19","2017-09-03","2018-06-11",258,25.6,4.97,3.86,9.93,17,9.5,8065,393,280,738,9176,451,325,862,1,81,"2017-09-03",2600,10,65,"2017-11-07",1,NA,NA,66,0,0,104,31.6,4.61,3.41,10,22,0,0
503,"336",501150340,"2016-07-05",1,"2018-05-19","2018-05-08",NA,11,22.6,3.41,3.17,9.15,30,11.2,0,0,0,0,0,0,0,0,1,81,"2018-05-08",2600,10,0,NA,NA,NA,NA,NA,0,0,37,33.4,3.52,2.77,9,17,0,0
519,"244",500956317,"2012-12-20",3,"2018-05-19","2018-02-20",NA,88,33.6,3.16,2.68,8.23,38,11.3,9428,355,284,811,9099,347,281,802,1,82,"2018-02-20",2600,10,0,NA,NA,NA,NA,NA,43.4,0,24,41.2,3.67,2.87,9,35,141,8.2
509,"262",500987010,"2013-09-26",3,"2018-05-19","2017-09-07",NA,254,33.4,3.72,3.18,8.86,163,9.4,10662,442,353,970,11195,463,370,1027,1,82,"2017-09-07",2600,10,179,"2018-03-05",2,NA,NA,158,73.7,75.1,43,49.6,3.92,3.23,12,41,62,26.4
231,"279",501028139,"2014-05-14",2,"2018-05-19","2017-10-09",NA,222,31,4.72,3.67,9.48,275,11.4,10153,456,368,957,10545,472,385,1008,1,82,"2017-10-09",2600,10,214,"2018-05-11",5,NA,NA,64,0,60.2,38,42,4.02,3.42,13,63,54,20
363,"313",501098029,"2015-08-05",1,"2018-05-19","2017-11-30",NA,170,33.8,3.2,2.86,8.49,172,10.7,8988,327,264,735,9497,351,287,800,1,82,"2017-11-30",2600,10,0,"2018-06-18",4,NA,NA,102,0,0,137,34.8,4.06,3.02,11,135,0,0
236,"326",501115606,"2015-12-08",1,"2018-05-19","2017-12-23",NA,147,29.8,3.59,3.27,9.07,98,10.8,8632,361,277,762,9247,396,309,847,1,82,"2017-12-23",2600,10,61,"2018-02-22",1,NA,NA,62,0,0,114,31.2,4.49,3.25,11,78,0,0
